Прізвище Ім*я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Артим Демид;Володимирович;чоловік;30-05-1968;Біолог;хутір Валки ;вулиця Куликовський 2-й, буд. 82 кв. 103, Глиняни, 08258;044 608 57 67;sofiiabazavluchenko@example.net
Дубас Златослава;Іванівна;жінка;23-12-1989;Письменник;селище Гола Пристань;провулок Олександра Невського, буд. 714 кв. 1, Борислав, 14025;002 295 77 10;atkachenko@example.org
Щорс Аарон;Дмитрович;чоловік;09-05-1948;Мовознавець;місто Тиврів;узвіз Калинова, буд. 2, Верхівцеве, 02544;037 678-82-36;prytulastefan@example.com
Ващук Василь;Васильович;чоловік;26-06-1962;Модельєр;хутір Гірське;набережна Мічуріна, буд. 78 кв. 00, Тальне, 27122;095 691 36 06;albinazakharenko@example.net
Архипенко Юстим;Михайлович;чоловік;24-02-1966;Мінералог;селище Лиман ;вулиця Маріїнська, буд. 7, Козятин, 01612;966-59-78;akashchenko@example.net
Давимука Остап;Тимофійович;чоловік;27-01-2005;Зоолог;селище Стрий;проспект 12-та ст. Великого Фонтану пляж, буд. 279, Жданівка, 14835;068 623 43 07;lessaienko@example.org
Байда Надія;Вікторівна;жінка;08-08-1999;Фармацевт;село Корсунь-Шевченківський;площа Ямська, буд. 42 кв. 5, Яремче, 50498;+380 (73) 770-88-98;ebebeshko@example.org
Удовенко Олесь;Махайлович;чоловік;12-03-1953;Музикант;село Перемишляни;проспект Восьмого березня 9-й, буд. 14 кв. 41, Тараща, 22851;211-26-90;iustynachaban@example.org
Коваленко Дмитро;Олександрович;чоловік;17-12-1991;Стиліст;місто Лохвиця;площа Чернівецький, буд. 80 кв. 5, Армянськ, 72359;+380 (83) 782-36-89;wudovychenko@example.net
Матяш Віолетта;Миколайович;жінка;24-11-1950;Драматург;місто Золочів;площа 1-ша Суворовська, буд. 6 кв. 1, Новодністровськ, 18007;700-47-21;labalukian@example.net
Зінчук Леопольд;Тимофійович;чоловік;15-07-1990;Геолог;селище Борщів;площа Воронцовський, буд. 673 кв. 86, Старобільськ, 85324;+380 11 822-60-92;riukhymenko@example.org
Василечко Соломія;Анатоліївна;жінка;07-12-1948;Секретар;хутір Здолбунів;узвіз Каманіна, буд. 2, Сватове, 61557;+380 (85) 389-69-19;urudko@example.net
Тригуб Тереза;Іванівна;жінка;11-04-1964;Стропальник;хутір Знам'янка;провулок Спиридонівська, буд. 21, Лиман , 10330;047 655-05-98;daryna76@example.org
Медведенко Олена;Василівна;жінка;22-06-1962;Геофізик;селище Сулимівка (Слов'янськ);шосе Іванівський переїзд, буд. 62, Городня, 06055;+380 (80) 177-35-45;bohuslavpushkar@example.net
Вдовиченко Андрій;Сергійович;чоловік;17-10-1974;Водій;селище Кам'янка (Черкаська область);проспект Садова 3-тя, буд. 7, Арциз, 70146;476 00 49;havrylivalla@example.com
Євтушок Оксана;Григорівна;жінка;30-10-1957;Шериф;селище Новомиргород;провулок Кладовищний, буд. 88 кв. 295, Білогірськ, 38607;076 229-82-78;gerustrokhym@example.org
Чорновіл Петро;Махайлович;чоловік;30-07-1958;Каскадер;село Липовець;провулок Іванова 2-й, буд. 8, Монастириська, 63715;+380 03 751-76-84;pvanchenko@example.net
Андрощук Тетяна;Олегівна;жінка;26-11-1965;Дипломат;селище Горлівка;провулок Ширяївський, буд. 00, Південне , 46304;+380 74 446-67-12;marianapryimak@example.org
Вакарчук Онисим;Васильович;чоловік;17-11-1979;Шериф;селище Світловодськ;сквер Промисловий, буд. 45, Гайворон, 71969;+380 86 855-18-69;dasaula@example.net
Сич Камілла;Олександрівна;жінка;07-05-1955;Живописець;місто Ялта;провулок Морська, буд. 017, Кобеляки, 34406;193 25 09;boleslavbazylevych@example.org
Романчук Тереза;Василівна;жінка;21-11-1943;Стоматолог;село Хорол ;площа Регенсбург, буд. 807 кв. 928, Богуслав, 71202;+380 30 591-38-84;cvivcharenko@example.net
Ящук Святослава;Віталівна;жінка;16-12-1968;Кухар;місто Херсон;вулиця Князівський, буд. 9, Ясинувата, 44228;001 871 92 33;skorykmakar@example.net
Данильчук Панас;Тимофійович;чоловік;19-02-1990;Стоматолог;селище Ланівці;площа Розкидайлівська, буд. 41, Біляївка, 52082;076 123 00 75;amvrosii83@example.net
Лесик Ярослав;Олександрович;чоловік;06-10-1941;Стоматолог;хутір Рогатин;сквер Чорноморка, буд. 551, Подільськ, 75314;075 029 99 47;lukian16@example.com
Малик Камілла;Григорівна;жінка;07-12-1977;Дизайнер;місто Докучаєвськ;сквер Данькевича, буд. 63 кв. 68, Нетішин, 86963;003 859-89-25;omelianbhydenko@example.net
Олійник Златослава;Олександрівна;жінка;19-09-1955;Музикознавець;селище Слов'янськ;узвіз Головна, буд. 87, Костянтинівка, 57527;101 17 02;eduarddavydenko@example.net
Івасюк Розалія;Валеріївна;жінка;02-12-1955;Музикознавець;хутір Чистякове;набережна Польовий 1-й, буд. 1 кв. 1, Берегове, 22946;258-67-41;xduplii@example.net
Цюпа Макар;Миколайович;чоловік;09-04-1962;Паралегал;село Мелітополь;площа Косвена, буд. 88 кв. 13, Сокиряни, 06114;+380 33 330-11-63;hordii42@example.org
Яремків Назар;Іванович;чоловік;21-09-1963;Диригент;селище Новодністровськ;шосе Бібліотечна, буд. 0, Галич, 26039;+380 10 952-36-82;rostyslav37@example.org
Влох Кирило;Іванович;чоловік;12-06-1961;Фермер;хутір Каховка;провулок Ковалевського, буд. 2 кв. 9, Дружба , 03526;097 047 98 03;dannalaba@example.net
Шаблій Панас;Іванович;чоловік;11-10-1964;Каскадер;село Тячів;площа Довженка, буд. 527, Щастя , 06391;+380 76 049 66 62;azarskyrda@example.net
Затовканюк Олена;Вікторівна;жінка;16-07-1999;Хореограф;хутір Костянтинівка;шосе Проценка, буд. 629, Заводське, 92222;491 67 64;lsirobaba@example.net
Гузій Єва;Валеріївна;жінка;02-10-1945;Нотаріус;село Сарни;вулиця Астрономічна, буд. 01, Тисмениця, 56805;025 336 94 17;iiesypenko@example.org
Кибкало Гліб;Анатолійович;чоловік;22-01-1941;Антрополог;місто Щолкіне;парк Літній, буд. 2 кв. 472, Алчевськ, 82436;532-85-71;ztytarenko@example.net
Яременко Єлисавета;Андріївна;жінка;25-08-1969;Етнограф;місто Саки ;шосе Вершинна, буд. 46 кв. 42, Полонне, 45418;013 265-27-60;tykhyiiaryna@example.org
Онищенко Едита;Володимирівна;жінка;03-05-1983;Краєзнавець;село Курахове;вулиця Василя Кандинського 5-й, буд. 1, Керч, 32648;004 823 59 23;danylchukvitalii@example.org
Байрак Розалія;Махайлівна;жінка;24-08-2007;Живописець;місто Чигирин;вулиця Матюшенка, буд. 67, Баштанка, 60267;+380 91 855-47-78;dotsenkoievhen@example.com
Михайличенко Трохим;Вітальович;чоловік;07-02-1988;Кінокритик;місто Привілля;сквер Вокзальна, буд. 2, Золоте, 35541;555 82 82;zynovii20@example.org
Єрошенко Венедикт;Дмитрович;чоловік;20-06-1967;Пекар;хутір Білопілля;проспект Східний, буд. 75, Берегове, 28101;959-14-36;iermolenkolevko@example.com
Романчук Леонід;Анатолійович;чоловік;22-01-1962;Правник;село Борзна;набережна Бехтерєва, буд. 083 кв. 20, Монастириська, 53087;+380 99 881-63-74;babiiserhii@example.com
Давиденко Веніямин;Валерійович;чоловік;14-03-1990;Співак;місто Олевськ;набережна Самарська, буд. 440, Сєвєродонецьк, 40934;+380 95 259-25-32;iaroslavolifirenko@example.org
Гуцуляк Ганна;Миколайович;жінка;30-11-1939;Електромонтер;місто Ямпіль;проспект Композитора Ніщинського, буд. 83, Полонне, 12041;195 76 88;abhydenko@example.net
Худяк Василина;Махайлівна;жінка;05-08-2005;Слідчий;село Арциз;сквер Успенський, буд. 76 кв. 45, Середина-Буда, 01282;939 17 01;oksana57@example.net
Шахрай Франц;Васильович;чоловік;17-03-1976;Геофізик;хутір Хмельницький;вулиця Стеценко, буд. 56 кв. 3, Галич, 87247;980-20-99;ishchakiefrem@example.com
Яценко Леонтій;Михайлович;чоловік;06-09-1969;Бухгалтер;місто Слов'янськ;парк Шишкіна, буд. 42 кв. 26, Добромиль, 77273;255-22-50;qisaienko@example.net
Черінько Сергій;Михайлович;чоловік;21-06-1938;Лікар;місто Кам'янець-Подільський;парк Саксаганського, буд. 109, Мелітополь, 77894;+380 52 006 57 90;olhatarasenko@example.com
Даценко Камілла;Сергіївна;жінка;18-03-1982;Епідеміолог;хутір Кропивницький;шосе Машинобудівний, буд. 3 кв. 015, Новояворівськ, 58982;+380 89 332 51 03;otiahnybok@example.org
Ковпак Павло;Михайлович;чоловік;06-06-1973;Євнух;хутір Червоноград;провулок 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 5, Зборів, 53727;714-30-26;mykhailiukvadym@example.net
Вахній Федір;Васильович;чоловік;30-05-1946;Підприємець;місто Дніпро ;узвіз Тимірязєва 4-й, буд. 023, Кілія, 36432;006 674 72 57;les85@example.com
Тесля Розалія;Володимирівна;жінка;11-05-1973;Кінолог;село Волочиськ;узвіз Академіка Панкратової, буд. 257, Люботин, 78020;+380 85 466 87 34;dziubamykhailyna@example.org
Товстоліс Леонтій;Тимофійович;чоловік;18-06-1956;Етнограф;село Тернівка ;сквер Заводська 3-тя, буд. 26, Пустомити, 03417;012 379 60 18;hieremenko@example.com
Цибуленко Святослав;Іванович;чоловік;12-04-1979;Мікробіолог;хутір Ладижин;парк Кропивницького, буд. 36 кв. 48, Хорол , 87378;038 021 29 09;isachenko@example.org
Бабиченко Адам;Дмитрович;чоловік;04-10-1942;Електрослюсар;селище Новоселиця;узвіз Лінія 26-та, буд. 6 кв. 1, Шостка, 90392;+380 55 147-84-76;oleksandrshablii@example.com
Верес Пилип;Махайлович;чоловік;01-01-1996;Провізор;місто Корсунь-Шевченківський;проспект Горбиста, буд. 5 кв. 118, Марганець , 65488;+380 (80) 355-00-25;riabchenkomarta@example.org
Атаманюк Прохір;Олегович;чоловік;04-10-1952;Прокурор;хутір Володимир-Волинський;узвіз Лінія 23-тя, буд. 48, Луцьк, 39856;+380 (44) 687-82-46;babiiolha@example.org
Авдєєнко Віталій;Махайлович;чоловік;19-07-1954;Правник;село Бердичів;парк Омська, буд. 716, Зимогір'я, 74574;288-84-42;zlatoslava61@example.org
Кириленко Ігор;Дмитрович;чоловік;21-08-1950;Євнух;місто Хмільник;сквер Дунаєвського, буд. 516, Гадяч, 32745;+380 34 756-99-60;martyn16@example.com
Демʼянчук Вікторія;Дмитрівна;жінка;01-09-1987;Євнух;село Синельникове;провулок Заньковецької, буд. 97 кв. 1, Щолкіне, 04628;098 457-95-05;ezhaivoron@example.net
Гоголь Тимофій;Тимофійович;чоловік;04-12-1999;Астроном;село Старий Крим;набережна Лодочний, буд. 82 кв. 503, Прилуки, 64046;214 57 78;konoplenkomykolai@example.net
Царенко Венедикт;Володимирович;чоловік;02-02-1947;Історик;селище Гайворон;парк 13-та ст. Великого Фонтану пляж, буд. 885, Копичинці, 49303;+380 66 822 76 34;siarema@example.com
Бабенко Мирослав;Тимофійович;чоловік;16-12-1969;Актор;село Антрацит ;сквер 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 425, Добромиль, 81680;188-80-85;makar64@example.org
Бабʼяк Гаврило;Іванович;чоловік;26-12-1999;Юрист;хутір Лозова ;шосе Володимира Вінниченка, буд. 16, Знам'янка, 76180;276-38-99;ddrobiazko@example.com
Іванченко Леон;Михайлович;чоловік;20-03-1981;М'ясник;місто Красноград;вулиця Пастера, буд. 3, Вишневе , 88560;+380 63 088 61 71;illia47@example.org
Мазепа Наталія;Іванівна;жінка;26-02-2001;Хореограф;селище Лутугине;узвіз Обсерваторний, буд. 42, Любомль, 68768;+380 46 776 99 87;asaulairyna@example.com
Онуфрієнко Віталій;Вітальович;чоловік;25-02-1990;Паблік рилейшнз;місто Маріуполь;парк Хаджибейський 2-й, буд. 33, Рівне, 82260;136-67-74;odarka69@example.com
Петренко Охрім;Володимирович;чоловік;11-02-1988;Електромонтер;село Підгородне;парк Туристська, буд. 3 кв. 21, Рожище, 83379;+380 43 897-20-19;pylyp29@example.org
Дашкевич Лариса;Григорівна;жінка;24-01-1944;Медик;місто Кропивницький;сквер Восьмого березня 3-й, буд. 9, Боярка, 36092;+380 86 767-76-11;dubasarkadii@example.com
Ковалюк Валентина;Григорівна;жінка;28-12-1977;Клавішник;місто Олевськ;шосе Павлова, буд. 0, Чистякове, 51711;880-50-14;danzaporozhets@example.com
Пʼятаченко Орися;Юріївна;жінка;28-02-1988;Етнограф;селище Марганець ;узвіз Гладкова, буд. 4 кв. 05, Соледар, 05928;+380 50 733 35 65;dmytroavramenko@example.net
Кириленко Златослава;Олександрівна;жінка;09-09-1972;Літературознавець;село Андрушівка;шосе Академіка Вільямса, буд. 22, Мала Виска, 13511;898 11 51;makarorobets@example.net
Конопля Ірена;Миколайович;жінка;06-03-1982;Ді-джей;хутір Подільськ;провулок Дальній, буд. 989, Луганськ, 12688;210-98-46;solomonlubenets@example.net
Канівець Галина;Олександрівна;жінка;12-02-1949;Юрист;місто Євпаторія;узвіз Рівності 1-й, буд. 7, Очаків, 78242;821 42 67;kylymnykfeofan@example.com
Адамчук Лукʼян;Юрійович;чоловік;17-04-1969;Каскадер;село Лебедин;проспект Миколи Вороного, буд. 55, Ківерці, 92347;+380 86 118-41-85;marusiaaleksiuk@example.org
Рева Ростислав;Махайлович;чоловік;30-11-1980;Співак;місто Южне;парк Нафтовиків 1-й, буд. 984 кв. 52, Зміїв, 91452;+380 92 431 00 52;edytasimashkevych@example.net
Сіробаба Марія;Анатоліївна;жінка;22-05-1958;Шериф;селище Васильків;парк Льва Симиренка, буд. 435, Токмак, 14882;080 332-40-89;dmalyshko@example.net
Фесенко Софія;Тимофіївна;жінка;12-08-1996;Бухгалтер;селище Інкерман;узвіз Лінія 33-тя, буд. 91, Токмак, 76528;988 25 92;ikozachenko@example.org
Венгринович Ярослав;Юрійович;чоловік;30-10-1947;Біолог;місто Балта;шосе Соляний 7-й, буд. 123, Моспине, 92758;078 207 77 83;kyrylo66@example.org
Непорожній Орина;Валеріївна;жінка;04-10-1965;Ботанік;селище Світловодськ;площа Миколи Бажана, буд. 95 кв. 172, Підгородне, 30413;049 979 44 37;mykhailynastus@example.org
Жук Амвросій;Вікторович;чоловік;22-01-1964;Правник;село Вугледар;парк Василя Стуса, буд. 9, Христинівка, 75182;289-13-03;maryna27@example.net
Ісаєнко Святослава;Михайлівна;жінка;24-11-1943;Педагог;селище Долина ;площа Аптекарський, буд. 410, Вовчанськ, 81268;047 022 32 90;ielysei17@example.org
Василенко Надія;Михайлівна;жінка;10-03-1976;Географ;село Валки ;вулиця Івасюка Володимира, буд. 989 кв. 854, Горлівка, 26766;303 78 33;edankiv@example.org
Шелест Оксенія;Григорівна;жінка;15-11-1984;Лікар;село Ровеньки;вулиця Травневий 2-й, буд. 9, Бердянськ, 93359;894 03 24;lesandriiovych@example.com
Тимчук Віктор;Анатолійович;чоловік;02-09-2003;Акушер;село Приморськ (Україна);набережна Кипарисний 3-й, буд. 2, Оріхів, 74156;039 293 98 85;adamshchors@example.org
Чуприна Юхим;Григорович;чоловік;14-10-1966;Різноробочий;хутір Андрушівка;парк Чорноморський 2-й, буд. 0, Новояворівськ, 63521;+380 15 846-12-98;viacheslav38@example.org
Якимчук Орина;Василівна;жінка;13-02-2007;Актор;місто Балта;узвіз Пироговська, буд. 068, Ворожба, 03986;+380 47 875 75 78;ievdokymenkodaryna@example.org
Данченко Павло;Миколайович;чоловік;02-06-1952;Психолог;село Шаргород;узвіз Ризька, буд. 4, Синельникове, 82637;+380 94 641-18-35;allahavriushenko@example.org
Артимишин Василь;Олегович;чоловік;10-03-1995;Фермер;місто Борислав;провулок Софії Перовської, буд. 450, Южне, 75731;+380 83 700 88 12;iefrem99@example.net
Тригуб Тереза;Валеріївна;жінка;08-03-1959;Географ;місто Соснівка ;парк 11-та Лінія Марії Демченко, буд. 6 кв. 54, Апостолове, 28688;023 430-29-42;vernyhoraklyment@example.net
Оніщук Ірина;Василівна;жінка;22-04-1946;Електромонтажник;хутір Нова Каховка;провулок Кибальчича, буд. 6 кв. 680, Тульчин, 91930;456-04-67;perepelytsiaoksana@example.net
Тимченко Геннадій;Вікторович;чоловік;10-09-1969;Гицель;місто Почаїв;узвіз Новгородський 2-й, буд. 451, Прип'ять , 13350;091 085-30-17;ivysochan@example.com
Коваленко Тетяна;Михайлівна;жінка;23-03-1969;Педагог;селище Бахчисарай;проспект Мазараті, буд. 404, Кобеляки, 33744;+380 50 109-46-16;avhustynmedvedenko@example.net
Власенко Лариса;Вікторівна;жінка;20-07-1957;Бухгалтер;селище Зимогір'я;узвіз Пестеля, буд. 152, Кадіївка, 49915;728 39 10;poltavetsvalentyn@example.net
Гайдамака Спас;Юрійович;чоловік;23-04-1962;Дантист;місто Золоте;площа Суперфосфатна, буд. 0 кв. 516, Карлівка, 21178;+380 11 650-31-25;boryslav95@example.net
Павлик Віолетта;Андріївна;жінка;14-02-1994;Музикознавець;хутір Прип'ять ;набережна Дерибасівська, буд. 565, Полтава, 67033;252 09 15;oryna12@example.net
Девдюк Богодар;Олегович;чоловік;26-04-1991;Вчитель;місто Зоринськ;узвіз Шоста, буд. 400, Сватове, 43514;+380 71 476-90-85;chabanzakhar@example.org
Штепа Мілена;Анатоліївна;жінка;17-01-1948;Дизайнер;місто Красногорівка;вулиця Каспійський, буд. 231 кв. 80, Докучаєвськ, 48511;005 319 86 44;adanesterenko@example.net
Панчук Петро;Володимирович;чоловік;27-12-1937;Кінолог;село Ромни;шосе 14-та Суворовська, буд. 30, Устилуг, 69604;477-32-30;artymovychmarta@example.com
Батуринець Златослава;Дмитрівна;жінка;05-07-1985;Кухар;хутір Теребовля;вулиця Кришталевий, буд. 66 кв. 0, Харцизьк, 44282;+380 (88) 777-56-71;svitlana17@example.com
Захарченко Трохим;Дмитрович;чоловік;13-11-1970;Мірошник;хутір Радехів;сквер Композитора Глинки, буд. 422 кв. 533, Новоград-Волинський, 05528;+380 33 031-84-18;vlokheduard@example.com
Товстоліс Павло;Вікторович;чоловік;20-08-1974;Флорист;селище Жовті Води;набережна Уральський, буд. 90 кв. 31, Тульчин, 61120;437-48-07;andriicharnysh@example.com
Батіг Климент;Дмитрович;чоловік;05-10-1987;М'ясник;хутір Чоп;провулок Сєрова, буд. 55 кв. 4, Немирів, 40397;025 437-13-77;kylymnykdemyd@example.org
Безбородьки Аркадій;Вікторович;чоловік;08-06-1957;Мікробіолог;село Павлоград;парк Восьмого березня 8-й, буд. 616 кв. 15, Бориспіль, 54826;693 95 89;borysstets@example.org
Харченко Юхим;Олегович;чоловік;09-04-1940;Соціолог;селище Дубровиця;набережна Гвардійська, буд. 24, Новодністровськ, 45645;634-47-31;sachenkovitalii@example.org
Шелест Віталій;Володимирович;чоловік;15-05-1941;Етнограф;хутір Ржищів;шосе Матроська Слобідка, буд. 1, Севастополь, 37471;075 854-03-68;zkhomyk@example.com
Москаль Варвара;Валеріївна;жінка;23-10-1983;Архітектор;місто Слов'янськ;площа Сливова, буд. 568 кв. 331, Миколаївка , 39113;057 369 54 32;kamillazakusylo@example.net
Філіпенко Ярина;Дмитрівна;жінка;13-03-1969;Палеонтолог;село Чернівці;парк Сьома, буд. 294, Ланівці, 40960;463-15-41;iurchyshynolena@example.org
Гунько Богуслав;Вікторович;чоловік;01-02-2008;Єгер;місто Шаргород;шосе 8-ма Суворовська, буд. 7, Роздільна, 62576;+380 90 802-40-32;ielysavetasliusar@example.net
Кибкало Дарина;Володимирівна;жінка;17-02-1976;Флорист;село Таврійськ;парк Ванцетті, буд. 8 кв. 4, Тараща, 95863;014 665-04-23;hrechanykleontii@example.org
Юрчук Владислав;Іванович;чоловік;15-04-1976;Астрофізик;селище Курахове;набережна Буніна, буд. 906, Харцизьк, 45306;867 50 84;itaran@example.net
Піддубний Устим;Сергійович;чоловік;13-01-2007;Палеонтолог;село Скалат;проспект Кільовий, буд. 786 кв. 14, Чорноморськ, 78385;044 008-19-57;demyd03@example.net
Пустовіт Пріска;Сергіївна;жінка;14-10-1944;Гірник;місто Бобринець;провулок Чорноморський, буд. 5, Біляївка, 33082;009 355 24 62;terezakybkalo@example.com
Забара Симон;Юрійович;чоловік;02-04-1985;Ювелір;місто Іловайськ;сквер Будівельний, буд. 0, Родинське, 29628;817 74 17;viacheslav76@example.com
Масоха Арсен;Дмитрович;чоловік;30-08-1944;Каскадер;місто Середина-Буда;набережна Амурський 1-й, буд. 1, Тернівка , 14584;+380 18 145-42-26;zynoviiiakymchuk@example.net
Дейсун Ганна;Юріївна;жінка;07-03-1938;Хімік;село Берестечко;площа Грибоєдова, буд. 784, Луганськ, 02955;+380 69 414-07-50;artemandrusenko@example.com
Салій Аніта;Дмитрівна;жінка;27-04-1972;Музикант;селище Богодухів;набережна Дунаєвського 2-й, буд. 7 кв. 544, Миколаївка , 48022;+380 56 386-94-76;bohuslav64@example.com
Гайдамака Олена;Сергіївна;жінка;23-09-1968;Хімік;селище Вінниця;вулиця Київське, буд. 09, Погребище, 68547;337-14-70;bohodar07@example.com
Ажажа Герман;Андрійович;чоловік;24-01-1964;Педагог;хутір Перемишляни;проспект Плієва, буд. 73, Біла Церква, 53499;+380 12 387-52-94;velychkoalbina@example.org
Червоненко Вʼячеслав;Миколайович;чоловік;25-09-1982;Соціолог;хутір Щастя ;провулок Красна, буд. 20, Донецьк, 75207;554-95-72;ydatsiuk@example.org
Лагода Тереза;Іванівна;жінка;09-09-1939;Паблік рилейшнз;хутір Привілля;шосе Мала Садова, буд. 469, Горлівка, 62760;+380 (06) 413-58-93;myroslav95@example.org
Примаченко Зиновій;Григорович;чоловік;05-04-1964;Фольклорист;хутір Первомайськ;шосе Махачкалинська, буд. 1 кв. 80, Алупка, 91144;318-14-05;snizhana24@example.net
Журба Кирило;Андрійович;чоловік;22-05-1960;Музикант;хутір Родинське;вулиця 11-та Лінія Марії Демченко, буд. 048 кв. 3, Брянка, 67766;061 229 92 14;levko99@example.org
Ємельяненко Тимофій;Михайлович;чоловік;12-11-1952;Юрист;хутір Бердичів;проспект Старосінна, буд. 1, Джанкой, 52298;269 71 20;shabliileontii@example.com
Адамчук Лілія;Іванівна;жінка;10-04-1944;Прокурор;село Приморськ (Україна);площа Лиманчик 2-й Лінія 5-та, буд. 155, Лисичанськ, 25985;+380 03 002-36-39;piatachenkokhoma@example.com
Алексійчук Віра;Махайлівна;жінка;23-01-1971;Мистецтвознавець;селище Ірміно;площа Проїзний 3-й, буд. 6 кв. 77, Рогатин, 47923;+380 84 617-45-08;frants63@example.net
Данильчук Ілля;Олегович;чоловік;22-11-1970;Дерун;селище Почаїв;вулиця Старосінна, буд. 88 кв. 4, Глиняни, 66301;056 894-03-55;zynoviizasenko@example.net
Дрозденко Євген;Васильович;чоловік;14-11-1965;Нотаріус;село Дергачі;сквер Дубова, буд. 299, Тиврів, 67890;+380 39 381-19-84;halyna54@example.org
Демиденко Павло;Сергійович;чоловік;23-08-1940;Льотчик;село Соснівка ;сквер Партизанської Слави, буд. 53, Красногорівка, 91467;071 433 18 87;olysenko@example.org
Вертипорох Борис;Володимирович;чоловік;21-03-1940;Намотувальник;селище Радивилів;вулиця Глухий міст, буд. 933 кв. 574, Болехів, 63052;003 277-03-13;shchyrytsiavalentyna@example.com
Кармалюк Дан;Вікторович;чоловік;28-11-1944;Ювелір;хутір Нова Каховка;проспект Восьмого Березня Лінія 4-та, буд. 8 кв. 19, Львів, 40512;+380 31 624-44-80;overmenych@example.com
Данькевич Петро;Валерійович;чоловік;12-08-2002;Фармацевт;селище Кремінна;провулок Рибальський, буд. 72, Дергачі, 70706;+380 04 556-98-70;solomiiaieremenko@example.net
Мамчур Станіслав;Вітальович;чоловік;28-04-1989;Намотувальник;село Бунге ;провулок Ланжеронівський узвіз, буд. 46, Вільнянськ, 58255;011 317 41 60;hupaloaaron@example.net
Вишиваний Владислав;Олександрович;чоловік;21-03-1957;Електромонтажник;хутір Очаків;сквер Станційна 3-тя, буд. 19 кв. 52, Ківерці, 01828;+380 (63) 361-87-06;abaidak@example.com
Чекалюк Мартин;Вікторович;чоловік;01-07-1961;Будник;хутір Покровськ;площа 7-ма Лінія Дачі Ковалевського, буд. 03, Моспине, 28555;617-51-56;korzhsolomon@example.net
Вдовенко Левко;Олександрович;чоловік;12-05-1942;Астронавт;селище Герца;проспект Басейний 4-й, буд. 55 кв. 73, Рівне, 68779;098 213-78-62;oksanabairak@example.com
Ребрик Вікторія;Дмитрівна;жінка;03-06-1994;Бібліотекар;село Гнівань;вулиця Луганська, буд. 3 кв. 6, Баранівка, 01153;+380 (68) 689-10-47;iefremshapoval@example.org
Луценко Маруся;Вікторівна;жінка;21-09-1969;Скульптор;село Решетилівка;сквер Східний 2-й, буд. 643 кв. 018, Севастополь, 46048;001 596 05 12;hvdovychenko@example.com
Василечко Андрій;Володимирович;чоловік;22-01-1978;Штукатур;місто Корсунь-Шевченківський;шосе Аеродромна, буд. 9, Канів, 80131;+380 (91) 683-28-00;aishchak@example.net
Чаленко Венедикт;Вітальович;чоловік;10-09-1980;Археолог;село Святогірськ;узвіз Небесної Сотні, буд. 217, Чорнобиль, 83102;+380 39 521-15-28;panaskovpak@example.org
Черненко Давид;Махайлович;чоловік;27-02-1958;Письменник;хутір Глухів;провулок Сонячна, буд. 289, Вилкове, 84329;066 239 20 19;rbarabash@example.com
Деряжний Богдан;Михайлович;чоловік;25-01-1991;Медик;селище Ківерці;шосе Пересипська 4-та, буд. 96, Ананьїв, 33233;+380 33 886-32-89;symonenkopanteleimon@example.com
Тригуб Мартин;Олегович;чоловік;06-05-1959;Ветеринар;хутір Тетіїв;парк Героїв Крут, буд. 571 кв. 21, Павлоград, 13348;+380 49 610-23-98;nosenkoalbert@example.com
Рубан Наталія;Віталівна;жінка;20-06-1949;Гінеколог;селище Зборів;парк Тепла, буд. 7, Володимир-Волинський, 88317;+380 41 825 84 60;zhuravelielysei@example.net
Бгиденко Тимофій;Валерійович;чоловік;27-03-1948;Петрограф;місто Буринь;шосе Катаєва, буд. 824 кв. 112, Новий Калинів, 62096;+380 59 026-33-97;snizhana80@example.org
Комар Анжела;Миколайович;жінка;27-07-1993;Слідчий;місто Чернігів;узвіз Єфімова, буд. 675, Горлівка, 31301;980 40 82;ronishchuk@example.net
Фесенко Олекса;Миколайович;чоловік;25-03-1987;Архітектор;селище Донецьк;вулиця Сортувальна 2-га, буд. 057, Вуглегірськ, 20232;060 461-86-66;svasylevych@example.net
Шеремета Вадим;Олегович;чоловік;09-06-1961;Гірничий інженер;місто Каховка;вулиця Посмітного, буд. 6, Кам'янське, 84391;+380 16 280 32 22;bazylevychustym@example.org
Скоробогатько Руслан;Сергійович;чоловік;11-12-1987;Письменник;село Дунаївці;провулок Хутірська, буд. 79, Слов'янськ, 21708;+380 23 675-35-29;bebeshkospas@example.org
Байдак Венедикт;Вікторович;чоловік;08-10-1971;Шериф;село Попасна;вулиця Леваневського тупик, буд. 0 кв. 648, Самбір, 57887;026 695-38-59;dashkevychillia@example.net
Єременко Ліза;Анатоліївна;жінка;22-09-1965;Ювелір;хутір Миколаївка ;провулок Онілової, буд. 156 кв. 92, Пустомити, 47480;168-38-07;frantshavrysh@example.org
Чорновіл Михайлина;Михайлівна;жінка;30-01-1984;Слідчий;місто Хирів;шосе Зелена, буд. 314 кв. 847, Перещепине, 68981;814 53 96;nosachenkodemian@example.net
Бандера Валентин;Іванович;чоловік;26-07-1959;Випробувач;селище Торецьк;проспект Князівська, буд. 9 кв. 482, Снігурівка, 97640;+380 (57) 928-82-51;lutsenkopavlo@example.org
